,fantaSquad,role,name,team,image
89,AI sereje ja dejeDe jebe tu de jebere,C,Darko Lazovic,Verona,https://content.fantacalcio.it/web/campioncini/card2021/LAZOVIC.png
90,AI sereje ja dejeDe jebe tu de jebere,C,Manuel Locatelli,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/LOCATELLI.png
91,AI sereje ja dejeDe jebe tu de jebere,C,Giulio Maggiore,Spezia,https://content.fantacalcio.it/web/campioncini/card2021/MAGGIORE.png
92,AI sereje ja dejeDe jebe tu de jebere,C,Aleksey Miranchuk,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/MIRANCHUK.png
93,AI sereje ja dejeDe jebe tu de jebere,C,Roberto Soriano,Bologna,https://content.fantacalcio.it/web/campioncini/card2021/SORIANO.png
94,AI sereje ja dejeDe jebe tu de jebere,A,Beto,Udinese,https://content.fantacalcio.it/web/campioncini/card2021/BETO.png
95,AI sereje ja dejeDe jebe tu de jebere,A,Francesco Caputo,Sampdoria,https://content.fantacalcio.it/web/campioncini/card2021/CAPUTO.png
96,AI sereje ja dejeDe jebe tu de jebere,A,Hirving Lozano,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/LOZANO.png
97,AI sereje ja dejeDe jebe tu de jebere,A,Leonardo Mancuso,Empoli,https://content.fantacalcio.it/web/campioncini/card2021/MANCUSO.png
98,AI sereje ja dejeDe jebe tu de jebere,A,Dusan Vlahovic,Fiorentina,https://content.fantacalcio.it/web/campioncini/card2021/VLAHOVIC.png
99,AI sereje ja dejeDe jebe tu de jebere,A,Duván Zapata,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/ZAPATA-D.png
100,Scansuolo ,P,Alex Meret,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/MERET.png
101,Scansuolo ,P,David Ospina,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/OSPINA.png
102,Scansuolo ,P,Salvatore Sirigu,Genoa,https://content.fantacalcio.it/web/campioncini/card2021/SIRIGU.png
103,Scansuolo ,D,Merih Demiral,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/DEMIRAL.png
104,Scansuolo ,D,Paolo Ghiglione,Genoa,https://content.fantacalcio.it/web/campioncini/card2021/GHIGLIONE.png
105,Scansuolo ,D,Elseid Hysaj,Lazio,https://content.fantacalcio.it/web/campioncini/card2021/HYSAJ.png
106,Scansuolo ,D,Rick Karsdorp,Roma,https://content.fantacalcio.it/web/campioncini/card2021/KARSDORP.png
107,Scansuolo ,D,Kalidou Koulibaly,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/KOULIBALY.png
108,Scansuolo ,D,Nikola Maksimovic,Genoa,https://content.fantacalcio.it/web/campioncini/card2021/MAKSIMOVIC.png
109,Scansuolo ,D,Mergim Vojvoda,Torino,https://content.fantacalcio.it/web/campioncini/card2021/VOJVODA.png
110,Scansuolo ,D,Gabriele Zappa,Cagliari,https://content.fantacalcio.it/web/campioncini/card2021/ZAPPA.png
111,Scansuolo ,C,Brahim Diaz,AC Milan,https://content.fantacalcio.it/web/campioncini/card2021/DIAZ-B.png
112,Scansuolo ,C,Hernani,Genoa,https://content.fantacalcio.it/web/campioncini/card2021/HERNANI.png
113,Scansuolo ,C,Ivan Ilic,Verona,https://content.fantacalcio.it/web/campioncini/card2021/ILIC.png
114,Scansuolo ,C,Junior Messias,AC Milan,https://content.fantacalcio.it/web/campioncini/card2021/MESSIAS.png
115,Scansuolo ,C,Matteo Pessina,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/PESSINA.png
116,Scansuolo ,C,Arnór Sigurdsson,Venezia,https://content.fantacalcio.it/web/campioncini/card2021/SIGURDSSON-A.png
117,Scansuolo ,C,Hamed Junior Traore,Sassuolo,https://content.fantacalcio.it/web/campioncini/card2021/TRAORE-HJ.png
118,Scansuolo ,C,Mattia Zaccagni,Lazio,https://content.fantacalcio.it/web/campioncini/card2021/ZACCAGNI.png
119,Scansuolo ,A,Felipe Caicedo,Genoa,https://content.fantacalcio.it/web/campioncini/card2021/CAICEDO.png
120,Scansuolo ,A,Ciro Immobile,Lazio,https://content.fantacalcio.it/web/campioncini/card2021/IMMOBILE.png
121,Scansuolo ,A,João Pedro,Cagliari,https://content.fantacalcio.it/web/campioncini/card2021/JOAO-PEDRO.png
122,Scansuolo ,A,Rafael Leão,AC Milan,https://content.fantacalcio.it/web/campioncini/card2021/RAFAEL-LEAO.png
123,Scansuolo ,A,Gianluca Scamacca,Sassuolo,https://content.fantacalcio.it/web/campioncini/card2021/SCAMACCA.png
124,Scansuolo ,A,Simy,Salernitana,https://content.fantacalcio.it/web/campioncini/card2021/SIMY.png
125,Beverly INPS,P,Juan Musso,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/MUSSO.png
126,Beverly INPS,P,Marco Silvestri,Udinese,https://content.fantacalcio.it/web/campioncini/card2021/SILVESTRI.png
127,Beverly INPS,P,Marco Sportiello,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/SPORTIELLO.png
128,Beverly INPS,D,Alessandro Bastoni,Inter,https://content.fantacalcio.it/web/campioncini/card2021/BASTONI.png
129,Beverly INPS,D,Juan Cuadrado,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/CUADRADO.png
130,Beverly INPS,D,Giovanni Di Lorenzo,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/DI-LORENZO.png
131,Beverly INPS,D,Federico Dimarco,Inter,https://content.fantacalcio.it/web/campioncini/card2021/DIMARCO.png
132,Beverly INPS,D,Simon Kjaer,AC Milan,https://content.fantacalcio.it/web/campioncini/card2021/KJAER.png
133,Beverly INPS,D,Bram Nuytinck,Udinese,https://content.fantacalcio.it/web/campioncini/card2021/NUYTINCK.png
134,Beverly INPS,D,Alessio Romagnoli,AC Milan,https://content.fantacalcio.it/web/campioncini/card2021/ROMAGNOLI.png
135,Beverly INPS,D,Leonardo Spinazzola,Roma,https://content.fantacalcio.it/web/campioncini/card2021/SPINAZZOLA.png
136,Beverly INPS,C,Antonin Barak,Verona,https://content.fantacalcio.it/web/campioncini/card2021/BARAK.png
137,Beverly INPS,C,José Callejón,Fiorentina,https://content.fantacalcio.it/web/campioncini/card2021/CALLEJON.png
138,Beverly INPS,C,Eljif Elmas,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/ELMAS.png
139,Beverly INPS,C,Franck Kessié,AC Milan,https://content.fantacalcio.it/web/campioncini/card2021/KESSIE.png
140,Beverly INPS,C,Dejan Kulusevski,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/KULUSEVSKI.png
141,Beverly INPS,C,Luis Alberto,Lazio,https://content.fantacalcio.it/web/campioncini/card2021/LUIS-ALBERTO.png
142,Beverly INPS,C,Dennis Praet,Torino,https://content.fantacalcio.it/web/campioncini/card2021/PRAET.png
143,Beverly INPS,C,Piotr Zielinski,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/ZIELINSKI.png
144,Beverly INPS,A,Musa Barrow,Bologna,https://content.fantacalcio.it/web/campioncini/card2021/BARROW.png
145,Beverly INPS,A,Domenico Berardi,Sassuolo,https://content.fantacalcio.it/web/campioncini/card2021/BERARDI.png
