fanta_team,role,player,team,image
AI sereje ja dejeDe jebe tu de jebere,A,Duván Zapata,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/ZAPATA-D.png
Scansuolo ,P,Alex Meret,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/MERET.png
Scansuolo ,P,David Ospina,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/OSPINA.png
Scansuolo ,P,Salvatore Sirigu,Genoa,https://content.fantacalcio.it/web/campioncini/card2021/SIRIGU.png
Scansuolo ,D,Merih Demiral,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/DEMIRAL.png
Scansuolo ,D,Aaron Hickey,Bologna,https://content.fantacalcio.it/web/campioncini/card2021/HICKEY.png
Scansuolo ,D,Elseid Hysaj,Lazio,https://content.fantacalcio.it/web/campioncini/card2021/HYSAJ.png
Scansuolo ,D,Pierre Kalulu,AC Milan,https://content.fantacalcio.it/web/campioncini/card2021/KALULU.png
Scansuolo ,D,Rick Karsdorp,Roma,https://content.fantacalcio.it/web/campioncini/card2021/KARSDORP.png
Scansuolo ,D,Kalidou Koulibaly,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/KOULIBALY.png
Scansuolo ,D,Mergim Vojvoda,Torino,https://content.fantacalcio.it/web/campioncini/card2021/VOJVODA.png
Scansuolo ,D,Gabriele Zappa,Cagliari,https://content.fantacalcio.it/web/campioncini/card2021/ZAPPA.png
Scansuolo ,C,Brahim Diaz,AC Milan,https://content.fantacalcio.it/web/campioncini/card2021/DIAZ-B.png
Scansuolo ,C,Ivan Ilic,Verona,https://content.fantacalcio.it/web/campioncini/card2021/ILIC.png
Scansuolo ,C,Teun Koopmeiners,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/KOOPMEINERS.png
Scansuolo ,C,Junior Messias,AC Milan,https://content.fantacalcio.it/web/campioncini/card2021/MESSIAS.png
Scansuolo ,C,Matteo Pessina,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/PESSINA.png
Scansuolo ,C,Hamed Junior Traore,Sassuolo,https://content.fantacalcio.it/web/campioncini/card2021/TRAORE-HJ.png
Scansuolo ,C,Mattia Zaccagni,Lazio,https://content.fantacalcio.it/web/campioncini/card2021/ZACCAGNI.png
Scansuolo ,C,Szymon Zurkowski,Empoli,https://content.fantacalcio.it/web/campioncini/card2021/ZURKOWSKI.png
Scansuolo ,A,Ciro Immobile,Lazio,https://content.fantacalcio.it/web/campioncini/card2021/IMMOBILE.png
Scansuolo ,A,João Pedro,Cagliari,https://content.fantacalcio.it/web/campioncini/card2021/JOAO-PEDRO.png
Scansuolo ,A,Mikael,Salernitana,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png
Scansuolo ,A,Rafael Leão,AC Milan,https://content.fantacalcio.it/web/campioncini/card2021/RAFAEL-LEAO.png
Scansuolo ,A,Gianluca Scamacca,Sassuolo,https://content.fantacalcio.it/web/campioncini/card2021/SCAMACCA.png
Scansuolo ,A,Vladyslav Supryaga,Sampdoria,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png
Beverly INPS,P,Juan Musso,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/MUSSO.png
Beverly INPS,P,Marco Silvestri,Udinese,https://content.fantacalcio.it/web/campioncini/card2021/SILVESTRI.png
Beverly INPS,P,Marco Sportiello,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/SPORTIELLO.png
Beverly INPS,D,Alessandro Bastoni,Inter,https://content.fantacalcio.it/web/campioncini/card2021/BASTONI.png
Beverly INPS,D,Andrea Cambiaso,Genoa,https://content.fantacalcio.it/web/campioncini/card2021/CAMBIASO.png
Beverly INPS,D,Juan Cuadrado,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/CUADRADO.png
Beverly INPS,D,Giovanni Di Lorenzo,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/DI-LORENZO.png
Beverly INPS,D,Federico Dimarco,Inter,https://content.fantacalcio.it/web/campioncini/card2021/DIMARCO.png
Beverly INPS,D,Bram Nuytinck,Udinese,https://content.fantacalcio.it/web/campioncini/card2021/NUYTINCK.png
Beverly INPS,D,Alessio Romagnoli,AC Milan,https://content.fantacalcio.it/web/campioncini/card2021/ROMAGNOLI.png
Beverly INPS,D,Leonardo Spinazzola,Roma,https://content.fantacalcio.it/web/campioncini/card2021/SPINAZZOLA.png
Beverly INPS,C,Antonin Barak,Verona,https://content.fantacalcio.it/web/campioncini/card2021/BARAK.png
Beverly INPS,C,Eljif Elmas,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/ELMAS.png
Beverly INPS,C,Jonathan Ikonè,Fiorentina,https://content.fantacalcio.it/web/campioncini/card2021/IKONE.png
Beverly INPS,C,Franck Kessié,AC Milan,https://content.fantacalcio.it/web/campioncini/card2021/KESSIE.png
Beverly INPS,C,Luis Alberto,Lazio,https://content.fantacalcio.it/web/campioncini/card2021/LUIS-ALBERTO.png
